Entry	Entry name	Gene names
Q9Y263	PLAP_HUMAN	PLAA PLAP
Q96RE7	NACC1_HUMAN	NACC1 BTBD14B NAC1
O43312	MTSS1_HUMAN	MTSS1 KIAA0429 MIM
Q9NP80	PLPL8_HUMAN	PNPLA8 IPLA22 IPLA2G BM-043
Q15319	PO4F3_HUMAN	POU4F3 BRN3C
P08134	RHOC_HUMAN	RHOC ARH9 ARHC
Q5VZM2	RRAGB_HUMAN	RRAGB
P20338	RAB4A_HUMAN	RAB4A RAB4
P61020	RAB5B_HUMAN	RAB5B
Q9BRS2	RIOK1_HUMAN	RIOK1 RIO1
Q05823	RN5A_HUMAN	RNASEL RNS4
P51149	RAB7A_HUMAN	RAB7A RAB7
O14966	RAB7L_HUMAN	RAB29 RAB7L1
Q15311	RBP1_HUMAN	RALBP1 RLIP1 RLIP76
Q86UU9	TKN4_HUMAN	TAC4
Q9NR97	TLR8_HUMAN	TLR8 UNQ249/PRO286
O75443	TECTA_HUMAN	TECTA
Q8TBZ6	TM10A_HUMAN	TRMT10A RG9MTD2
Q9BRT2	UQCC2_HUMAN	UQCC2 C6orf125 MNF1
Q9UKY1	ZHX1_HUMAN	ZHX1
Q9GZS3	WDR61_HUMAN	WDR61
P35443	TSP4_HUMAN	THBS4 TSP4
O95785	WIZ_HUMAN	WIZ ZNF803
O95859	TSN12_HUMAN	TSPAN12 NET2 TM4SF12 UNQ774/PRO1568
P35442	TSP2_HUMAN	THBS2 TSP2
Q8NAT1	PMGT2_HUMAN	POMGNT2 AGO61 C3orf39 EOGTL GTDC2
Q6ZSK4	NTAS1_HUMAN	NTM-AS1 C11orf39
P0DPB5	RPC22_HUMAN	POLR1D
Q9BT43	RPC7L_HUMAN	POLR3GL
P51157	RAB28_HUMAN	RAB28
Q6GMV3	PTRD1_HUMAN	PTRHD1 C2orf79
P0DP57	SLUR2_HUMAN	SLURP2
Q96MN5	TEAN2_HUMAN	TCEANC2 C1orf83
Q96IK0	TM101_HUMAN	TMEM101
Q6ZWK6	TM11F_HUMAN	TMPRSS11F HATL4
Q8IYU4	UBQLN_HUMAN	UBQLNL
Q9NVE5	UBP40_HUMAN	USP40
Q6A555	TXND8_HUMAN	TXNDC8 SPTRX3 TRX6
Q14146	URB2_HUMAN	URB2 KIAA0133
Q96K62	ZBT45_HUMAN	ZBTB45 ZNF499
Q9Y2L8	ZKSC5_HUMAN	ZKSCAN5 KIAA1015 ZFP95
Q9UJW8	ZN180_HUMAN	ZNF180
Q2M3X9	ZN674_HUMAN	ZNF674
Q96PQ6	ZN317_HUMAN	ZNF317 KIAA1588
Q9Y3M9	ZN337_HUMAN	ZNF337
Q8NE65	ZN738_HUMAN	ZNF738
B7Z6K7	ZN814_HUMAN	ZNF814
Q14585	ZN345_HUMAN	ZNF345
Q9NQX6	ZN331_HUMAN	ZNF331 RITA ZNF361 ZNF463
P17036	ZNF3_HUMAN	ZNF3 KOX25
Q96N77	ZN641_HUMAN	ZNF641
Q6ZS27	ZN662_HUMAN	ZNF662
Q96K58	ZN668_HUMAN	ZNF668
P17024	ZNF20_HUMAN	ZNF20 KOX13
P98168	ZXDA_HUMAN	ZXDA
Q7Z3U7	MON2_HUMAN	MON2 KIAA1040 SF21
Q9Y3P9	RBGP1_HUMAN	RABGAP1 HSPC094
Q13472	TOP3A_HUMAN	TOP3A TOP3
Q99952	PTN18_HUMAN	PTPN18 BDP1
Q96T37	RBM15_HUMAN	RBM15 OTT OTT1
P43007	SATT_HUMAN	SLC1A4 ASCT1 SATT
A3KN83	SBNO1_HUMAN	SBNO1 MOP3
Q96IW7	SC22A_HUMAN	SEC22A SEC22L2
P63220	RS21_HUMAN	RPS21
O15273	TELT_HUMAN	TCAP
Q8N616	TM148_HUMAN	LINC00311 NCRNA00311 TMEM148
Q9BSA9	TM175_HUMAN	TMEM175
Q86T26	TM11B_HUMAN	TMPRSS11B HATL5
Q6NUQ4	TM214_HUMAN	TMEM214 PP446
Q9H0V1	TM168_HUMAN	TMEM168
Q66K66	TM198_HUMAN	TMEM198
Q96EC8	YIPF6_HUMAN	YIPF6
Q9HAV4	XPO5_HUMAN	XPO5 KIAA1291 RANBP21
Q6ZRP5	YD019_HUMAN	
Q499Y3	YJ016_HUMAN	
Q495M9	USH1G_HUMAN	USH1G SANS
P18887	XRCC1_HUMAN	XRCC1
O00507	USP9Y_HUMAN	USP9Y DFFRY
A0A0B4J280	TVA40_HUMAN	TRAV40
A0A0A6YYJ7	TVA83_HUMAN	TRAV8-3
P11441	UBL4A_HUMAN	UBL4A DXS254E GDX UBL4
Q8IWV8	UBR2_HUMAN	UBR2 C6orf133 KIAA0349
Q7RTX1	TS1R1_HUMAN	TAS1R1 GPR70 T1R1 TR1 GM148
Q9UNX4	WDR3_HUMAN	WDR3
P57081	WDR4_HUMAN	WDR4
P58317	ZN121_HUMAN	ZNF121 ZNF20
Q8WVS4	WDR60_HUMAN	WDR60
Q9BZM6	ULBP1_HUMAN	ULBP1 N2DL1 RAET1I
O75820	ZN189_HUMAN	ZNF189
Q9UQR1	ZN148_HUMAN	ZNF148 ZBP89
Q70J99	UN13D_HUMAN	UNC13D
P11172	UMPS_HUMAN	UMPS OK/SW-cl.21
Q8N2C7	UNC80_HUMAN	UNC80 C2orf21 KIAA1843
Q5CZA5	ZN805_HUMAN	ZNF805
Q9H7R0	ZN442_HUMAN	ZNF442
Q8NB42	ZN527_HUMAN	ZNF527 KIAA1829
Q3MIS6	ZN528_HUMAN	ZNF528 KIAA1827
Q15631	TSN_HUMAN	TSN
Q99598	TSNAX_HUMAN	TSNAX TRAX
Q01534	TSPY1_HUMAN	TSPY1 TSPY
Q9BXA7	TSSK1_HUMAN	TSSK1B SPOGA1 SPOGA4 STK22A STK22D TSSK1 FKSG81
Q9Y5U2	TSSC4_HUMAN	TSSC4
Q9BXA6	TSSK6_HUMAN	TSSK6 SSTK FKSG82
Q9UK11	ZN223_HUMAN	ZNF223
O14905	WNT9B_HUMAN	WNT9B WNT14B WNT15 UNQ6973/PRO21956
P17023	ZNF19_HUMAN	ZNF19 KOX12
Q9ULT0	TTC7A_HUMAN	TTC7A KIAA1140 TTC7
Q3MJ62	ZSC23_HUMAN	ZSCAN23 ZNF390 ZNF453
Q99536	VAT1_HUMAN	VAT1
Q9UPY5	XCT_HUMAN	SLC7A11
Q9Y4I5	MTL5_HUMAN	TESMIN MTL5
O15439	MRP4_HUMAN	ABCC4 MRP4
Q5TGP6	MROH9_HUMAN	MROH9 C1orf129
